"ID","School","Teacher","ChildAge","Gender","Ethnic","BA","LC","DLS","FS"
420,820,64,5.19,0,1,0,0,0,1
679,570,63,5.18,0,1,10,1,1,2
411216,112,56,5.17,0,1,6,0,0,1
11213,112,56,5.16,0,0,0,0,0,2
12516,125,58,5.16,0,1,0,0,0,0
367,78.5,39,5.15,0,1,0,0,0,0
84,22,11,5.14,0,1,0,0,0,0
7190,7004,86,5.14,0,1,0,0,0,0
434,84,45,5.13,0,1,1,2,1,0
960809,960,77,5.13,0,1,2,2,1,1
864,34,17,5.12,0,1,9,0,2,3
460,84,45,5.11,0,1,1,0,0,0
7158,7004,86,5.11,0,1,1,0,0,0
7262,7006,87,5.11,0,1,1,0,0,1
470121,70,37,5.1,0,0,4,5,5,2
369,78.5,39,5.09,0,1,1,1,0,2
5113,51,25,5.08,0,1,0,0,0,2
109,333,59,5.08,0,1,0,4,1,3
52,19,9,5.07,0,1,2,0,2,3
11206,112,56,5.07,0,1,4,2,1,4
7278,7006,87,5.06,0,1,6,1,1,2
7094,7003,85,5.05,0,1,1,0,1,0
7095,7003,85,5.05,0,1,5,0,0,0
214,69,35,5.03,0,1,6,0,2,4
53,19,9,5.02,0,1,2,1,0,2
722,333,59,5.01,0,1,10,1,3,4
848,34,17,5,0,1,4,1,0,3
849,34,17,5,0,1,4,1,0,0
400429,84,45,5,0,1,2,4,3,0
54,19,9,4.99,0,0,0,0,0,0
366,78.5,39,4.99,0,1,0,1,1,1
392,79,39,4.99,0,1,4,2,4,0
477,95,52,4.99,0,1,1,0,0,1
400192,7004,86,4.99,0,1,0,1,0,0
3621,36,18,4.98,0,0,0,0,0,1
403625,36,18,4.98,0,0,2,2,2,5
868,4.5,2,4.97,0,1,2,0,4,4
55,19,9,4.97,0,1,5,0,2,2
7135,7003,85,4.97,0,1,0,0,0,0
7398,7008,89,4.97,0,0,0,0,0,0
8222,82,44,4.96,0,1,2,0,0,0
184,68.5,35,4.95,0,1,0,0,0,1
678,570,63,4.94,0,1,1,0,0,0
361,78.5,39,4.92,0,1,6,0,0,0
458,84,45,4.91,0,1,3,0,0,2
7406,7008,89,4.91,0,0,1,0,0,0
165,60,32,4.9,0,1,0,0,1,6
7274,7006,87,4.89,0,1,0,0,0,1
389,79,39,4.88,0,1,0,0,0,1
400424,820,64,4.88,0,1,3,1,2,1
7133,7003,85,4.88,0,1,0,0,0,0
867,4.5,2,4.87,0,1,2,0,1,2
217,69,35,4.87,0,1,10,2,2,4
7125,7003,85,4.87,0,0,1,0,0,0
400866,34,17,4.85,0,1,2,0,1,0
456,84,45,4.85,0,1,0,0,0,1
400139,7003,85,4.85,0,1,1,3,5,3
856,34,17,4.83,0,1,4,0,0,0
385,79,39,4.82,0,1,1,1,0,0
658,41,20,4.81,0,1,2,0,0,4
57,19,9,4.8,0,1,1,0,0,1
739,43.5,21,4.8,0,1,2,5,4,2
11209,112,56,4.8,0,1,2,2,3,5
92,22.5,12,4.79,0,1,1,2,1,4
863,34,17,4.79,0,1,0,0,1,0
7412,7008,89,4.79,0,1,0,2,0,3
7028,7001,83,4.78,0,1,7,2,3,1
7180,7004,86,4.78,0,1,0,0,0,1
78340,78,40,4.76,0,NA,6,0,2,5
7248,7006,87,4.75,0,0,1,2,0,1
461,84,45,4.74,0,1,1,1,1,1
676,570,63,4.74,0,1,10,2,2,2
7313,7006,87,4.74,0,1,1,0,0,1
7122,7003,85,4.73,0,1,0,1,1,1
865,4.5,2,4.72,0,1,3,3,2,3
400058,19,9,4.72,0,1,4,3,4,2
6515,65,34,4.72,0,1,5,0,1,1
7305,7006,87,4.72,0,0,1,1,1,1
681,570,63,4.71,0,1,4,3,3,4
515,960,76,4.71,0,1,0,0,0,2
78338,78,40,4.7,0,1,5,2,2,3
674,570,63,4.7,0,1,10,2,3,1
7395,7008,89,4.7,0,1,2,2,1,0
354,78.5,39,4.69,0,1,0,2,0,0
11212,112,56,4.69,0,1,1,0,0,3
415,820,64,4.69,0,1,5,1,0,2
7282,7006,87,4.69,0,1,0,3,2,0
610,960,77,4.68,0,1,1,0,1,0
7161,7004,86,4.67,0,1,2,0,0,0
859,34,17,4.66,0,1,7,2,0,2
78337,78,40,4.65,0,1,3,2,3,2
59,19,9,4.63,0,1,1,0,0,1
6521,65,34,4.61,0,1,10,1,0,2
400134,7003,85,4.61,0,1,6,2,3,1
225,69,35,4.6,0,1,0,0,0,3
400123,7003,85,4.59,0,1,5,4,3,1
7176,7004,86,4.59,0,1,2,4,1,2
95,22.5,12,4.58,0,1,1,3,2,2
7351,7007,88,4.58,0,1,9,1,0,3
60,19,9,4.57,0,1,2,1,1,0
61,19,9,4.56,0,1,1,0,0,2
6523,65,34,4.56,0,1,1,0,0,2
486,95,52,4.56,0,1,0,4,1,2
7087,7002,84,4.56,0,1,1,0,1,0
7097,7003,85,4.56,0,0,5,3,2,1
457,84,45,4.55,0,1,1,0,0,0
387,79,39,4.51,0,1,0,0,0,0
130,53.5,28,4.5,0,1,0,0,0,0
450611,50,24,5.77,0,0,7,0,1,1
407615,76,38,NA,0,1,9,5,4,1
5714,57,30,3.49,0,1,0,1,3,0
12403,124,57,3.46,0,1,1,3,2,2
3205,32,15,3.43,0,1,0,1,0,0
6540,65,34,3.43,0,1,6,2,2,1
1405,14,8,3.42,0,1,6,5,5,5
3208,32,15,3.42,0,1,3,2,3,1
3302,33,16,3.41,0,1,5,5,3,0
3302,33,16,3.41,0,1,5,5,3,0
90221,902,66,3.41,0,1,5,1,2,5
99916,999,82,3.4,0,0,0,0,0,0
3209,32,15,3.36,0,1,0,2,0,1
92416,924,73,3.36,0,1,3,3,0,1
99908,999,82,3.35,0,0,0,0,1,0
412420,124,57,3.34,0,1,2,3,0,1
3219,32,15,3.33,0,1,8,5,4,2
92013,920,70,3.29,0,1,9,2,2,0
6528,65,34,3.27,0,1,10,5,2,0
92010,920,70,3.27,0,1,0,2,0,0
403301,33,16,3.25,0,1,8,6,5,2
6539,65,34,3.25,0,1,1,1,2,0
92002,920,70,3.25,0,1,8,2,0,0
493214,932,75,3.24,0,1,6,5,2,1
3206,32,15,3.19,0,1,3,2,0,0
3215,32,15,3.19,0,1,5,4,1,3
3216,32,15,3.17,0,1,5,5,3,1
492008,920,70,3.16,0,1,0,2,1,0
99902,999,82,3.15,0,0,0,4,1,1
92421,924,73,3.14,0,1,1,2,0,1
91006,910,67,3.08,0,1,1,0,0,0
91007,910,67,3.06,0,1,3,1,0,0
92415,924,73,3.06,0,1,4,2,1,1
92212,922,71,2.97,0,1,8,2,2,1
91012,910,67,2.96,0,0,2,1,1,0
92217,922,71,2.66,0,1,10,5,4,2
7078,7002,84,4.48,0,1,3,1,0,1
7236,7005,87,4.42,0,1,3,1,1,0
194,68.5,35,4.38,0,1,2,0,1,3
192,68.5,35,4.37,0,1,4,4,4,2
7211,7005,87,4.3,0,1,0,1,1,0
7215,7005,87,4.3,0,NA,3,0,2,1
7072,7002,84,4.29,0,1,3,3,5,1
1404,14,8,4.27,0,1,0,1,0,0
7219,7005,87,4.25,0,0,0,0,0,0
1408,14,8,4.24,0,1,3,4,3,2
7208,7005,87,4.24,0,1,2,1,2,1
92417,924,73,4.17,0,1,3,4,3,1
92707,927,74,4.17,0,1,7,1,1,2
403643,36,18,4.16,0,1,11,1,4,1
8008,80,41,4.15,0,1,6,1,0,0
410128,10,6,4.13,0,0,0,1,1,0
5342,53,27,4.13,0,1,3,0,0,0
5329,53,27,4.12,0,1,0,0,0,0
6537,65,34,4.12,0,1,0,0,0,2
5340,53,27,4.11,0,1,1,0,0,0
91003,910,67,4.11,0,1,1,0,0,0
90223,902,66,4.1,0,1,6,0,1,0
91004,910,67,4.1,0,1,1,0,0,0
91005,910,67,4.1,0,1,1,0,0,0
3307,33,16,4.08,0,1,2,1,2,3
3307,33,16,4.08,0,1,2,1,2,3
492225,922,71,4.08,0,1,3,4,4,1
5711,57,30,4.07,0,1,3,1,1,2
5311,53,27,4.05,0,1,0,0,0,0
3218,32,15,4.04,0,1,0,0,0,1
93216,932,75,4.03,0,1,0,0,1,0
90220,902,66,4.01,0,1,1,0,1,0
93221,932,75,4,0,1,0,0,0,0
5347,53,27,3.99,0,1,5,0,1,1
412418,124,57,3.97,0,1,1,1,0,0
5701,57,30,3.96,0,0,4,1,0,1
90202,902,66,3.95,0,NA,8,3,2,1
3213,32,15,3.94,0,1,0,0,0,0
6530,65,34,3.93,0,1,0,0,0,0
92208,922,71,3.93,0,1,0,0,0,0
3203,32,15,3.91,0,1,4,5,2,2
5319,53,27,3.91,0,1,2,0,0,0
5351,53,27,3.87,0,1,0,0,0,0
8010,80,41,3.87,0,1,6,3,1,1
5308,53,27,3.86,0,1,0,1,0,0
92003,920,70,3.86,0,1,1,0,0,0
3214,32,15,3.85,0,1,0,6,3,3
5335,53,27,3.85,0,1,0,1,0,0
6536,65,34,3.85,0,1,0,0,2,0
92006,920,70,3.85,0,1,0,1,0,0
3305,33,16,3.83,0,1,4,6,5,2
3305,33,16,3.83,0,1,4,6,5,2
92419,924,73,3.83,0,1,7,1,0,0
5720,57,30,3.82,0,1,6,4,4,3
92001,920,70,3.82,0,0,1,0,0,0
1406,14,8,3.81,0,1,5,4,5,0
493219,932,75,3.81,0,1,7,5,1,0
91915,919,69,3.8,0,1,0,0,0,0
6538,65,34,3.78,0,1,0,3,1,1
5343,53,27,3.76,0,NA,11,0,3,2
491013,910,67,3.76,0,1,3,2,2,0
91008,910,67,3.75,0,1,1,1,0,0
3220,32,15,3.73,0,1,4,4,3,2
6531,65,34,3.71,0,0,0,2,0,0
92015,920,70,3.7,0,1,0,0,0,0
99603,996,79,3.7,0,0,0,2,1,0
5334,53,27,3.69,0,1,0,0,0,0
8003,80,41,3.69,0,1,5,0,0,0
92017,920,70,3.68,0,1,0,0,0,1
3309,33,16,3.67,0,1,2,4,2,3
3309,33,16,3.67,0,1,2,4,2,3
408004,80,41,3.63,0,1,2,5,4,4
5317,53,27,3.62,0,1,0,0,0,0
5717,57,30,3.59,0,1,0,1,2,0
6529,65,34,3.59,0,1,0,1,0,0
3308,33,16,3.58,0,1,2,5,4,2
3308,33,16,3.58,0,1,2,5,4,2
5718,57,30,3.56,0,1,0,1,0,0
5309,53,27,3.53,0,1,0,0,0,0
92403,924,73,3.53,0,1,7,3,1,2
93223,932,75,3.53,0,1,0,2,2,2
92012,920,70,3.51,0,0,2,0,0,1
99910,999,82,3.5,0,0,1,0,0,0
450609,50,24,5.19,0,1,0,0,0,1
7365,7007,88,5.15,0,0,0,4,2,3
7207,7005,87,5.13,0,0,1,1,2,1
193,68.5,35,5.09,0,1,0,0,1,0
7141,7003,85,4.93,0,1,1,0,1,1
7209,7005,87,4.85,0,0,0,0,1,0
7216,7005,87,4.83,0,0,1,0,0,0
14,9.5,5,4.8,0,1,2,5,2,5
7090,7002,84,4.77,0,1,8,1,1,0
7217,7005,87,4.76,0,1,0,0,0,0
191,68.5,35,4.73,0,1,0,0,0,0
7234,7005,87,4.63,0,0,2,1,3,1
7065,7002,84,4.61,0,1,8,3,3,1
7084,7002,84,4.57,0,NA,10,1,1,3
7213,7005,87,4.57,0,0,0,0,0,0
7220,7005,87,4.54,0,0,0,0,0,0
450707,50,24,NA,0,NA,12,1,3,2
92226,922,71,NA,0,1,5,4,5,3
400823,998,81,NA,0,1,10,5,5,2
8234,82,44,3.49,0,1,0,1,0,0
90211,902,66,3.48,0,1,6,2,4,1
8253,82,44,3.47,0,1,2,2,1,0
91225,912,68,3.47,0,1,0,0,0,0
335,3,1,3.45,0,1,7,4,5,2
5145,51,25,3.44,0,1,2,3,1,0
5155,51,25,3.44,0,0,1,3,1,2
480327,80,42,3.43,0,0,7,6,4,4
493211,932,75,3.43,0,1,1,0,1,3
5152,51,25,3.42,0,0,0,2,1,0
99518,995,78,3.41,0,0,1,2,2,2
91228,912,68,3.4,0,1,0,0,1,0
5143,51,25,3.39,0,1,3,2,1,2
91215,912,68,3.39,0,1,1,0,0,1
91216,912,68,3.39,0,1,0,0,0,0
3640,36,18,3.38,0,0,1,2,1,3
90225,902,66,3.38,0,0,2,1,1,2
4510,45,22,3.37,0,1,4,2,1,1
91916,919,69,3.37,0,1,2,1,0,0
8204,82,44,3.36,0,1,9,3,1,2
8264,82,44,3.36,0,0,1,5,2,1
340,3,1,3.35,0,1,11,5,5,1
806,8,3,3.35,0,1,1,0,0,0
5338,53,27,3.34,0,1,0,0,0,0
91912,919,69,3.34,0,1,1,0,1,0
91223,912,68,3.33,0,1,0,0,0,0
8209,82,44,3.32,0,0,9,6,4,5
