date,close
1496404827,476199
1496408426,476444
1496412026,476508
1496415625,476856
1496419226,477230
1496422826,478036
1496426426,479179
1496430026,480151
1496433625,481081
1496437226,481967
1496440826,482926
1496444426,483454
1496448026,483655
1496451626,484648
1496455226,486450
1496458825,486722
1496462426,487037
1496466026,487655
1496469632,487721
1496473226,487789
1496476826,487849
1496480426,488141
1496484026,488261
1496487626,488465
1496491226,489130
1496494825,489605
1496498426,489949
1496502026,490121
1496505626,490863
1496509226,491654
1496512825,492360
1496516426,492618
1496520026,493165
1496523626,493307
1496527226,493614
1496530826,493908
1496534426,494514
1496538026,495220
1496541626,495881
1496545226,496542
1496548826,497310
1496552426,497744
1496556026,497993
1496559625,498193
1496563226,498518
1496566825,498805
1496570426,498982
1496574026,499199
1496577626,499560
1496581226,500225
1496584826,500471
1496588426,501271
1496592033,502303
1496595626,503698
1496599229,504838
1496602830,506629
1496606425,507336
1496610029,507957
1496613626,508448
1496617226,508891
1496620829,509467
1496624430,510072
1496628026,510505
1496631626,511058
1496635226,511468
1496638825,511639
1496642426,511904
1496646026,511904
1496649626,512000
1496653226,512092
1496656826,512217
1496660426,512327
1496664026,512595
1496667625,512966
1496671226,513088
1496674826,514402
1496678426,515421
1496682026,516647
1496685625,517874
1496689232,519463
1496692826,519769
1496696426,520975
1496700026,522140
1496703626,523368
1496707226,525492
1496710826,527111
1496714426,528672
1496718026,528812
1496721626,528915
1496725226,528957
1496728828,529101
1496732426,529366
1496736026,529377
1496739625,529381
1496743226,529554
1496746826,529742
1496750426,530165
1496754026,530498
1496757626,531404
1496761226,531555
1496764826,531942
1496768426,532666
1496772025,533426
1496775626,534037
1496779226,534490
1496782826,535437
1496786429,535862
1496790026,536454
1496793626,537454
1496797227,538607
1496800826,539172
1496804426,539422
1496808025,539975
1496811626,540432
1496815226,540999
1496818841,541139
1496822425,541325
1496826026,541559
1496829626,541686
1496833226,541754
1496836826,542189
1496840426,542672
1496844025,542976
1496847626,543218
1496851226,543966
1496854829,544359
1496858426,545065
1496862026,545490
1496865629,545982
