Source,Target,Distance,num_paths,initial_config,final_config,path,search_depth,chunks,vals_str
03,13,5,2,Partial,Partial,"[[3, 16, 7, 18, 24, 13], [3, 16, 29, 23, 10, 13]]",NA,NA,NA
03,14,6,2,Partial,Partial,"[[3, 9, 28, 22, 11, 5, 14], [3, 9, 20, 26, 11, 5, 14]]",NA,NA,NA
03,15,4,1,Partial,Partial,"[[3, 9, 20, 26, 15]]",1,1,GSGG
03,16,1,1,Partial,Partial,"[[3, 16]]",1,0,G
03,17,2,1,Partial,Partial,"[[3, 9, 17]]",1,0,GG
03,18,3,1,Partial,Partial,"[[3, 16, 7, 18]]",1,0,GGG
03,19,7,1,Partial,Partial,"[[3, 9, 20, 26, 15, 0, 6, 19]]",5,1,SSSSGGG
03,20,2,1,Partial,Partial,"[[3, 9, 20]]",1,0,GG
03,21,8,6,Partial,Partial,"[[3, 16, 7, 18, 24, 13, 2, 8, 21], [3, 16, 29, 23, 10, 13, 2, 8, 21], [3, 16, 29, 23, 10, 4, 12, 8, 21], [3, 9, 28, 22, 11, 5, 14, 27, 21], [3, 9, 20, 26, 11, 5, 14, 27, 21], [3, 9, 20, 26, 15, 0, 6, 27, 21]]",NA,NA,NA
03,22,3,1,Partial,Partial,"[[3, 9, 28, 22]]",1,0,GGG
03,23,3,1,Partial,Partial,"[[3, 16, 29, 23]]",1,0,GGG
03,24,4,1,Partial,Partial,"[[3, 16, 7, 18, 24]]",1,1,GSGG
03,25,7,1,Partial,Partial,"[[3, 16, 29, 23, 10, 4, 12, 25]]",4,2,SSSGSGG
03,26,3,1,Partial,Partial,"[[3, 9, 20, 26]]",1,0,GGG
03,27,7,3,Partial,Partial,"[[3, 9, 28, 22, 11, 5, 14, 27], [3, 9, 20, 26, 11, 5, 14, 27], [3, 9, 20, 26, 15, 0, 6, 27]]",NA,NA,NA
03,28,2,1,Partial,Partial,"[[3, 9, 28]]",1,0,GG
03,29,2,1,Partial,Partial,"[[3, 16, 29]]",1,0,GG
03,30,3,1,Partial,Tower,"[[3, 9, 28, 30]]",1,0,GGG
03,31,3,1,Partial,Tower,"[[3, 9, 20, 31]]",1,0,GGG
03,32,3,1,Partial,Tower,"[[3, 16, 29, 32]]",1,0,GGG
03,33,4,1,Partial,Tower,"[[3, 16, 7, 18, 33]]",1,1,GSGG
03,34,8,3,Partial,Tower,"[[3, 9, 28, 22, 11, 5, 14, 27, 34], [3, 9, 20, 26, 11, 5, 14, 27, 34], [3, 9, 20, 26, 15, 0, 6, 27, 34]]",NA,NA,NA
03,35,8,2,Partial,Tower,"[[3, 16, 29, 23, 10, 4, 12, 25, 35], [3, 9, 20, 26, 15, 0, 6, 19, 35]]",NA,NA,NA
04,00,5,1,Partial,Partial,"[[4, 12, 25, 19, 6, 0]]",3,1,SSGGG
04,01,5,2,Partial,Partial,"[[4, 10, 24, 18, 7, 1], [4, 10, 23, 29, 7, 1]]",NA,NA,NA
04,02,3,2,Partial,Partial,"[[4, 12, 8, 2], [4, 10, 13, 2]]",NA,NA,NA
04,03,5,1,Partial,Partial,"[[4, 10, 23, 29, 16, 3]]",3,1,SSGGG
04,05,6,2,Partial,Partial,"[[4, 12, 8, 21, 27, 14, 5], [4, 12, 25, 19, 6, 14, 5]]",NA,NA,NA
